long,lat
110.3199904,20.00513808
110.325027,20.01078523
110.5767521,19.95222833
110.3150925,20.03520117
110.2903723,19.99099911
110.2986332,20.02415241
110.2565779,20.0268406
110.3443824,19.98933606
110.3595099,19.98990415
110.313592,20.02856742
110.3065468,20.02579866
110.3433322,20.03637603
110.3514437,20.0653347
110.3276144,20.0267966
110.3403088,20.05411626
110.2916354,20.02619559
110.2996787,20.01497112
110.3307369,20.01701152
110.3362459,20.03115582
110.3239051,19.99857422
110.3337543,20.05331188
110.3331049,20.0119418
110.3695271,20.01677153
110.2832097,20.01834802
110.3539405,20.00983355
110.3411863,20.06501563
110.3151408,20.02665099
110.2787906,20.01934175
110.3744806,20.0182009
110.3246409,20.00840399
110.278203,20.00547884
110.2882988,20.02587489
110.3293887,20.02166595
110.3095696,20.02564824
110.3148285,20.02615815
110.3184354,20.03099748
110.3193655,20.03025612
110.3197377,20.03003423
110.3120664,20.0262973
110.3139472,20.02863883
110.2785468,20.02058003
110.3196559,20.04750987
110.3212727,20.04132771
110.3319705,20.04990445
110.3325421,20.05185598
110.32138,20.03092288
110.3238759,20.02277838
110.3460915,20.03245782
110.3213343,20.02646426
110.3242717,20.02954725
110.3187412,20.02306932
110.3228183,20.02162043
110.2855745,20.01460304
110.3530452,20.0311117
110.3330535,20.04100002
110.3346117,20.02877193
110.3551472,20.02816881
110.3448632,20.03146219
110.2772052,20.00671687
110.3326036,20.03945059
110.3355793,20.03293656
110.3364282,20.0370884
110.3449668,20.03450553
110.3418794,20.03500855
110.3394322,20.02641293
110.316626,20.01796503
110.345662,20.02185878
110.3465042,20.02121075
110.2848053,20.00239484
110.3295511,20.02612235
110.3587932,20.02731633
110.3012533,20.00364015
110.2997044,19.9998345
110.3555993,19.99096116
110.3150247,20.03409438
110.3043571,20.02552117
110.3320449,20.03825867
110.2267199,20.04293079
110.2298423,20.04072245
110.3479572,20.05872927
110.2885116,20.02244576
110.3576293,20.03033665
110.3491176,20.04302125
110.3485178,20.02548776
110.3331749,20.02756565
110.3436487,20.03283252
110.3042519,20.01444315
110.3325537,20.03998813
110.3287724,20.03398235
110.3350117,20.03047959
110.3206858,20.04463856
110.3281409,20.07036863
110.3591755,19.99018289
110.2961798,20.02024997
110.2952215,20.01987711
110.3223597,20.03305379
110.3247083,20.03679543
110.3271946,20.03976716
110.3099178,20.00703115
110.3570463,20.0321871
110.3447105,20.03192985
110.3388512,20.03111191
110.3351949,20.03901232
110.339653,20.03937527
110.3433908,20.06055392
110.3351704,20.02867879
110.3296311,20.02278943
110.3382482,20.03641043
110.3382685,20.06869507
110.3383856,20.02364458
110.2946772,20.02566774
110.3107702,20.02443809
110.1832352,20.06170066
110.2640982,19.99768241
110.3339479,20.03341804
110.2635286,19.99771974
110.2627112,19.99720872
110.3596325,19.99317969
110.3512361,20.0270844
110.3478494,20.05872745
110.3066696,20.00478499
110.3571709,20.03477205
110.3357099,20.03543939
110.3351518,20.06086447
110.3374852,20.06885667
110.2879578,19.99699234
110.3705992,20.04077613
110.3701949,20.03965669
110.370115,20.0400291
110.3146109,20.02701026
110.3178198,20.03057828
110.320915,20.03089473
110.3147865,20.02749634
110.318649,20.03070783
110.2921814,20.02801733
110.313086,20.03027175
110.2389684,20.03023403
110.3368566,20.03037503
110.3369561,20.05490716
110.3059659,20.02601084
110.3261278,20.06356186
110.3369899,20.05777246
110.3145321,20.02625177
110.2830342,20.01371437
110.3419257,19.98864095
110.340561,20.00126094
110.3107208,19.99562024
110.2391182,20.03469179
110.3257047,20.04382736
110.2937531,20.01983326
110.3523808,20.0267602
110.3480901,20.01746684
110.3508461,20.04163814
110.2954241,20.02090766
110.3049847,20.02894695
110.3422231,20.06381374
110.288575,20.03191554
110.3487798,20.05347549
110.3362859,20.03036009
110.3228358,20.03143755
110.3563716,19.99500028
110.3335945,20.0370307
110.3460968,20.02716742
110.2905022,20.02723304
110.3563371,20.00462934
110.3097979,20.03086116
110.3371416,20.05691647
110.2967438,20.02086862
110.3558638,20.02793646
110.3140701,20.02724444
110.3369311,19.99802401
110.3175039,20.02357005
110.3353952,20.06235224
110.3203577,20.02293017
110.33257,20.03398212
110.3572066,19.98217831
110.3209813,19.90609955
110.1886194,20.05777522
110.1911259,20.05873646
110.3383217,20.06257393
