"","x","y","pop"
"2963",113.870833333764,22.8458333327566,58
"2964",113.879166667099,22.8458333327566,12
"2965",113.887500000435,22.8458333327566,22
"2966",113.895833333771,22.8458333327566,36
"2969",113.920833333777,22.8458333327566,52
"3106",113.845833333757,22.8374999994276,29
"3108",113.862500000428,22.8374999994276,198
"3109",113.870833333764,22.8374999994276,177
"3110",113.879166667099,22.8374999994276,59
"3111",113.887500000435,22.8374999994276,60
"3112",113.895833333771,22.8374999994276,90
"3251",113.837500000421,22.8291666660987,380
"3252",113.845833333757,22.8291666660987,486
"3253",113.854166667092,22.8291666660987,505
"3254",113.862500000428,22.8291666660987,730
"3255",113.870833333764,22.8291666660987,608
"3256",113.879166667099,22.8291666660987,127
"3257",113.887500000435,22.8291666660987,67
"3258",113.895833333771,22.8291666660987,21
"3259",113.904166667106,22.8291666660987,23
"3260",113.912500000442,22.8291666660987,14
"3261",113.920833333777,22.8291666660987,24
"3262",113.929166667113,22.8291666660987,88
"3263",113.937500000449,22.8291666660987,1079
"3397",113.837500000421,22.8208333327697,420
"3398",113.845833333757,22.8208333327697,299
"3399",113.854166667092,22.8208333327697,769
"3400",113.862500000428,22.8208333327697,1370
"3401",113.870833333764,22.8208333327697,1350
"3402",113.879166667099,22.8208333327697,1982
"3403",113.887500000435,22.8208333327697,279
"3404",113.895833333771,22.8208333327697,209
"3405",113.904166667106,22.8208333327697,245
"3406",113.912500000442,22.8208333327697,271
"3407",113.920833333777,22.8208333327697,261
"3408",113.929166667113,22.8208333327697,16246
"3409",113.937500000449,22.8208333327697,6708
"3410",113.945833333784,22.8208333327697,1558
"3543",113.837500000421,22.8124999994408,5358
"3544",113.845833333757,22.8124999994408,654
"3545",113.854166667092,22.8124999994408,664
"3546",113.862500000428,22.8124999994408,1385
"3547",113.870833333764,22.8124999994408,7278
"3548",113.879166667099,22.8124999994408,2395
"3549",113.887500000435,22.8124999994408,1137
"3550",113.895833333771,22.8124999994408,534
"3551",113.904166667106,22.8124999994408,406
"3552",113.912500000442,22.8124999994408,2000
"3553",113.920833333777,22.8124999994408,1788
"3554",113.929166667113,22.8124999994408,5646
"3555",113.937500000449,22.8124999994408,6003
"3556",113.945833333784,22.8124999994408,6753
"3557",113.95416666712,22.8124999994408,3324
"3558",113.962500000455,22.8124999994408,1978
"3559",113.970833333791,22.8124999994408,39
"3589",114.22083333386,22.8124999994408,6
"3689",113.837500000421,22.8041666661118,32238
"3690",113.845833333757,22.8041666661118,2387
"3691",113.854166667092,22.8041666661118,8015
"3692",113.862500000428,22.8041666661118,6566
"3693",113.870833333764,22.8041666661118,35320
"3694",113.879166667099,22.8041666661118,576
"3695",113.887500000435,22.8041666661118,5880
"3696",113.895833333771,22.8041666661118,27976
"3697",113.904166667106,22.8041666661118,1362
"3698",113.912500000442,22.8041666661118,436
"3699",113.920833333777,22.8041666661118,1307
"3700",113.929166667113,22.8041666661118,6199
"3701",113.937500000449,22.8041666661118,24282
"3702",113.945833333784,22.8041666661118,502
"3703",113.95416666712,22.8041666661118,1444
"3704",113.962500000455,22.8041666661118,204
"3705",113.970833333791,22.8041666661118,28
"3706",113.979166667127,22.8041666661118,60
"3734",114.212500000524,22.8041666661118,30
"3735",114.22083333386,22.8041666661118,21
"3742",114.279166667209,22.8041666661118,21
"3743",114.287500000545,22.8041666661118,22
"3744",114.29583333388,22.8041666661118,130
"3745",114.304166667216,22.8041666661118,101
"3746",114.312500000551,22.8041666661118,112
"3747",114.320833333887,22.8041666661118,782
"3748",114.329166667223,22.8041666661118,3135
"3749",114.337500000558,22.8041666661118,174
"3750",114.345833333894,22.8041666661118,18
"3833",113.82083333375,22.7958333327829,5301
"3834",113.829166667086,22.7958333327829,7664
"3835",113.837500000421,22.7958333327829,1408
"3836",113.845833333757,22.7958333327829,421
"3837",113.854166667092,22.7958333327829,12365
"3838",113.862500000428,22.7958333327829,8065
"3839",113.870833333764,22.7958333327829,8691
"3840",113.879166667099,22.7958333327829,9202
"3841",113.887500000435,22.7958333327829,9235
"3842",113.895833333771,22.7958333327829,8262
"3843",113.904166667106,22.7958333327829,6420
"3844",113.912500000442,22.7958333327829,1259
"3845",113.920833333777,22.7958333327829,1400
"3846",113.929166667113,22.7958333327829,6894
"3847",113.937500000449,22.7958333327829,32100
"3848",113.945833333784,22.7958333327829,7386
"3849",113.95416666712,22.7958333327829,2908
"3850",113.962500000455,22.7958333327829,540
"3851",113.970833333791,22.7958333327829,1840
"3852",113.979166667127,22.7958333327829,34
"3880",114.212500000524,22.7958333327829,61
"3881",114.22083333386,22.7958333327829,67
"3882",114.229166667195,22.7958333327829,55
"3887",114.270833333873,22.7958333327829,52
"3888",114.279166667209,22.7958333327829,56
"3889",114.287500000545,22.7958333327829,153
"3890",114.29583333388,22.7958333327829,202
"3891",114.304166667216,22.7958333327829,152
"3892",114.312500000551,22.7958333327829,549
"3893",114.320833333887,22.7958333327829,1596
"3894",114.329166667223,22.7958333327829,4265
"3895",114.337500000558,22.7958333327829,685
"3896",114.345833333894,22.7958333327829,95
"3978",113.812500000414,22.7874999994539,7839
"3979",113.82083333375,22.7874999994539,9398
"3980",113.829166667086,22.7874999994539,11055
"3981",113.837500000421,22.7874999994539,9360
"3982",113.845833333757,22.7874999994539,1504
"3983",113.854166667092,22.7874999994539,9364
"3984",113.862500000428,22.7874999994539,9315
"3985",113.870833333764,22.7874999994539,11730
"3986",113.879166667099,22.7874999994539,36527
"3987",113.887500000435,22.7874999994539,13857
"3988",113.895833333771,22.7874999994539,9202
"3989",113.904166667106,22.7874999994539,12187
"3990",113.912500000442,22.7874999994539,6227
"3991",113.920833333777,22.7874999994539,9307
"3992",113.929166667113,22.7874999994539,9694
"3993",113.937500000449,22.7874999994539,7708
"3994",113.945833333784,22.7874999994539,5936
"3995",113.95416666712,22.7874999994539,2641
"3996",113.962500000455,22.7874999994539,1061
"3997",113.970833333791,22.7874999994539,337
"3998",113.979166667127,22.7874999994539,267
"3999",113.987500000462,22.7874999994539,6
"4023",114.187500000517,22.7874999994539,9
"4024",114.195833333853,22.7874999994539,13
"4025",114.204166667188,22.7874999994539,63
"4026",114.212500000524,22.7874999994539,12
"4027",114.22083333386,22.7874999994539,4
"4028",114.229166667195,22.7874999994539,32
"4029",114.237500000531,22.7874999994539,90
"4032",114.262500000538,22.7874999994539,40
"4033",114.270833333873,22.7874999994539,60
"4034",114.279166667209,22.7874999994539,198
"4035",114.287500000545,22.7874999994539,265
"4036",114.29583333388,22.7874999994539,1371
"4037",114.304166667216,22.7874999994539,1243
"4038",114.312500000551,22.7874999994539,2172
"4039",114.320833333887,22.7874999994539,4583
"4040",114.329166667223,22.7874999994539,13901
"4041",114.337500000558,22.7874999994539,799
"4123",113.804166667079,22.779166666125,1170
"4124",113.812500000414,22.779166666125,10563
"4125",113.82083333375,22.779166666125,6483
"4126",113.829166667086,22.779166666125,12849
"4127",113.837500000421,22.779166666125,13901
"4128",113.845833333757,22.779166666125,9515
"4129",113.854166667092,22.779166666125,11047
"4130",113.862500000428,22.779166666125,9150
"4131",113.870833333764,22.779166666125,9498
"4132",113.879166667099,22.779166666125,9233
"4133",113.887500000435,22.779166666125,9848
"4134",113.895833333771,22.779166666125,11355
"4135",113.904166667106,22.779166666125,12662
"4136",113.912500000442,22.779166666125,9847
"4137",113.920833333777,22.779166666125,27084
"4138",113.929166667113,22.779166666125,7386
"4139",113.937500000449,22.779166666125,2009
"4140",113.945833333784,22.779166666125,5863
"4141",113.95416666712,22.779166666125,1522
"4142",113.962500000455,22.779166666125,278
"4143",113.970833333791,22.779166666125,274
"4144",113.979166667127,22.779166666125,476
"4145",113.987500000462,22.779166666125,32
"4168",114.179166667182,22.779166666125,78
"4169",114.187500000517,22.779166666125,187
"4170",114.195833333853,22.779166666125,204
"4171",114.204166667188,22.779166666125,97
"4172",114.212500000524,22.779166666125,201
"4173",114.22083333386,22.779166666125,45
"4174",114.229166667195,22.779166666125,38
"4175",114.237500000531,22.779166666125,133
"4176",114.245833333866,22.779166666125,90
"4177",114.254166667202,22.779166666125,61
"4178",114.262500000538,22.779166666125,223
"4179",114.270833333873,22.779166666125,93
"4180",114.279166667209,22.779166666125,722
"4181",114.287500000545,22.779166666125,3662
"4182",114.29583333388,22.779166666125,5583
"4183",114.304166667216,22.779166666125,7134
"4184",114.312500000551,22.779166666125,5241
"4185",114.320833333887,22.779166666125,1782
"4186",114.329166667223,22.779166666125,728
"4187",114.337500000558,22.779166666125,267
"4188",114.345833333894,22.779166666125,214
"4194",114.395833333908,22.779166666125,290
"4195",114.404166667243,22.779166666125,673
"4267",113.787500000408,22.7708333327961,289
"4268",113.795833333743,22.7708333327961,5848
"4269",113.804166667079,22.7708333327961,5733
"4270",113.812500000414,22.7708333327961,9536
"4271",113.82083333375,22.7708333327961,15677
"4272",113.829166667086,22.7708333327961,15388
"4273",113.837500000421,22.7708333327961,34068
"4274",113.845833333757,22.7708333327961,10221
"4275",113.854166667092,22.7708333327961,9233
"4276",113.862500000428,22.7708333327961,7870
"4277",113.870833333764,22.7708333327961,6848
"4278",113.879166667099,22.7708333327961,7159
"4279",113.887500000435,22.7708333327961,6863
"4280",113.895833333771,22.7708333327961,12662
"4281",113.904166667106,22.7708333327961,10944
"4282",113.912500000442,22.7708333327961,6641
"4283",113.920833333777,22.7708333327961,6003
"4284",113.929166667113,22.7708333327961,6003
"4285",113.937500000449,22.7708333327961,26750
"4286",113.945833333784,22.7708333327961,5323
"4287",113.95416666712,22.7708333327961,302
"4288",113.962500000455,22.7708333327961,4507
"4289",113.970833333791,22.7708333327961,222
"4290",113.979166667127,22.7708333327961,279
"4291",113.987500000462,22.7708333327961,215
"4314",114.179166667182,22.7708333327961,28
"4315",114.187500000517,22.7708333327961,373
"4316",114.195833333853,22.7708333327961,119
"4317",114.204166667188,22.7708333327961,63
"4318",114.212500000524,22.7708333327961,119
"4319",114.22083333386,22.7708333327961,93
"4320",114.229166667195,22.7708333327961,4
"4321",114.237500000531,22.7708333327961,16
"4322",114.245833333866,22.7708333327961,8
"4323",114.254166667202,22.7708333327961,11
"4324",114.262500000538,22.7708333327961,83
"4325",114.270833333873,22.7708333327961,14471
"4326",114.279166667209,22.7708333327961,1848
"4327",114.287500000545,22.7708333327961,1842
"4328",114.29583333388,22.7708333327961,4923
"4329",114.304166667216,22.7708333327961,7125
"4330",114.312500000551,22.7708333327961,7636
"4331",114.320833333887,22.7708333327961,1679
"4332",114.329166667223,22.7708333327961,1218
"4333",114.337500000558,22.7708333327961,92
"4334",114.345833333894,22.7708333327961,203
"4340",114.395833333908,22.7708333327961,1919
"4341",114.404166667243,22.7708333327961,1793
"4342",114.412500000579,22.7708333327961,4466
"4414",113.795833333743,22.7624999994671,6132
"4415",113.804166667079,22.7624999994671,31105
"4416",113.812500000414,22.7624999994671,16013
"4417",113.82083333375,22.7624999994671,15722
"4418",113.829166667086,22.7624999994671,14395
"4419",113.837500000421,22.7624999994671,12385
"4420",113.845833333757,22.7624999994671,14544
"4421",113.854166667092,22.7624999994671,1819
"4422",113.862500000428,22.7624999994671,6894
"4423",113.870833333764,22.7624999994671,28041
"4424",113.879166667099,22.7624999994671,2595
"4425",113.887500000435,22.7624999994671,6911
"4426",113.895833333771,22.7624999994671,12930
"4427",113.904166667106,22.7624999994671,12530
"4428",113.912500000442,22.7624999994671,25428
