2162,2186,313,2248,217,727,1875,538,1482,1377,627,1303,571,832,2418,2107,1920,91,2207,659,99,1446,2191,940,670,1661,2006,254,889,2316,359,2245,1423,243,2166,1742,1102,2251,161,927
2162,2186,313,2248,217,727,1941,538,1663,627,1377,1211,2316,2207,571,832,2107,1447,91,659,1920,99,2191,940,670,310,889,2289,2418,1944,359,1423,1652,242,2211,161,927,524,2251,1102
2162,2186,313,2248,217,727,1942,538,1662,627,1377,2207,2316,1211,571,2107,1447,832,125,658,1920,99,2191,670,2289,310,889,940,2418,2006,1652,359,2211,242,1423,161,1874,1483,2250,498
2162,2186,313,2248,217,1942,727,2107,538,562,1377,2316,2207,1482,571,1211,125,1447,658,756,2289,2189,670,99,310,1920,1661,940,1874,2418,1652,888,774,2211,293,2250,2006,161,588,421
2162,2186,313,2206,216,1942,2248,727,2107,562,538,2275,1377,1663,507,1211,658,1801,125,2289,682,310,2189,133,2161,670,2418,1353,1920,940,1561,967,700,2006,2211,588,1661,209,410,2291
2162,2186,2207,313,216,2248,1943,2107,727,562,2275,538,1377,1662,266,1875,2291,1045,311,658,2187,571,2160,125,600,1447,756,1470,2164,2418,700,99,1483,1920,588,2246,940,2007,161,541
2162,2186,2207,313,2163,216,2232,2248,498,1942,727,1661,538,1377,218,2206,2007,497,2107,658,2316,973,2291,507,1874,209,600,1470,125,1483,2189,682,1447,588,2246,700,2164,133,1398,2417
2162,2207,2186,313,2163,2232,2248,216,498,1943,2160,727,2107,257,2275,1377,217,1875,538,2291,1662,497,656,2187,507,671,2206,1942,126,1282,2106,1211,627,2246,658,2316,539,172,1483,1447
2162,2161,2207,2186,2163,313,2232,2206,434,2139,216,2248,2106,1942,257,2275,264,2107,727,562,2202,1943,1377,168,538,2160,2187,498,656,1662,2291,1875,507,671,1282,2316,209,2164,654,218
2162,2161,2208,2163,2207,2186,2160,2232,2106,313,2139,2206,372,2105,2187,257,2248,215,2082,2107,498,2159,2275,216,1942,2202,434,2210,2006,264,2249,2233,562,2164,727,168,1943,256,2209,1282
2162,2161,2208,2160,2209,2207,2163,2105,2104,2210,2106,2159,2206,2103,2254,2164,2253,2107,2255,2102,2205,2031,2158,2211,2032,2252,2030,2256,2029,2204,2101,2251,2033,2157,2165,2108,1969,1970,2028,2250
